mag,s0,sp0,spt,ag,tau_dinamic,pfine,d50,outcome
7.9,186.4,96.1,20,0.32,0.36,0,0.46,1
7.9,130.5,81.4,10,0.32,0.32,5,0.28,1
7.9,111.8,71.6,17,0.28,0.28,3,0.8,1
7.9,93.2,67.7,13,0.28,0.25,4,0.6,1
7.9,122.6,93.2,10,0.2,0.16,10,0.25,1
7.9,141.3,102,1,0.2,0.17,14,0.25,1
7.9,71.6,69.7,2.2,0.2,0.13,22,0.18,1
7.9,149.1,80.4,16.5,0.2,0.23,1,0.28,1
7.9,93.2,63.8,11.9,0.2,0.19,5,0.3,1
7.9,93.2,73.6,5.7,0.2,0.16,20,0.2,0
7.9,149.1,100.1,2,0.2,0.18,33,0.15,0
8,89.3,59.8,8,0.2,0.19,10,0.4,1
8,64.7,35.3,1,0.2,0.24,27,0.2,1
8,50,45.1,2,0.2,0.15,30,0.15,1
8,130.5,81.4,10,0.16,0.16,5,0.28,1
7.3,66.7,35.3,7,0.35,0.39,35,0.13,0
7.3,141.3,70.6,29,0.35,0.39,2,0.8,0
7.3,123.6,91.2,19,0.35,0.27,4,0.65,1
7.3,74.6,47.1,8,0.4,0.38,0,0.45,1
7.3,100.1,51,8,0.4,0.45,21,0.1,0
7.3,128.5,63.8,20,0.4,0.45,0,0.45,0
7.5,130.5,71.6,8,0.16,0.17,2,0.3,1
7.5,130.5,71.6,12,0.16,0.17,2,0.3,0
7.5,128.5,79.5,18,0.16,0.15,2,0.3,0
7.5,186.4,98.1,10,0.16,0.17,2,0.3,1
7.5,186.4,98.1,16,0.16,0.17,2,0.3,0
7.5,184.4,105.9,20,0.16,0.15,2,0.3,0
7.5,80.4,38.3,4,0.16,0.21,10,0.4,1
7.5,111.8,65.7,27,0.16,0.16,0,0.3,0
7.5,93.2,68.7,12,0.16,0.13,0,0.36,0
7.5,84.4,46.1,6,0.16,0.18,0,0.4,1
7.9,74.6,45.1,5,0.2,0.21,20,0.12,1
7.9,111.8,72.6,28,0.23,0.22,5,0.25,0
7.9,74.6,41.2,6,0.23,0.27,5,0.25,1
7.9,74.6,45.1,16,0.23,0.25,5,0.25,0
6.7,118.7,66.7,10,0.1,0.09,0,0.6,0
6.7,61.8,34.3,5,0.12,0.12,5,0.7,1
6.7,61.8,41.2,7,0.12,0.1,4,0.28,0
6.7,80.4,47.1,11,0.12,0.11,0,0.4,0
6.7,80.4,54.9,4,0.12,0.09,10,0.4,0
6.7,61.8,41.2,13,0.12,0.1,7,1.6,0
6.7,80.4,41.2,9,0.12,0.13,12,1.2,0
6.7,103,83.4,9,0.14,0.09,5,0.34,0
6.7,108.9,70.6,8,0.14,0.11,4,0.36,0
6.7,59.8,56.9,11,0.14,0.08,5,0.53,0
6.7,74.6,59.8,6,0.14,0.09,10,0.25,0
6.7,93.2,68.7,9,0.14,0.1,20,0.15,0
6.7,111.8,77.5,12,0.14,0.11,3,0.35,0
6.7,74.6,49.1,4,0.12,0.1,10,0.15,0
5.5,111.8,48.1,6,0.19,0.1,3,0.2,1
8.3,56.9,53,10,0.16,0.22,10,0.2,1
6.6,72.6,86.3,9,0.45,0.29,20,0.1,1
7.5,72.6,28.4,8,0.14,0.17,3,1,1
7.5,93.2,34.3,8,0.14,0.14,3,1,0
7.5,58.9,62.8,14,0.14,0.13,3,1,0
6.6,107.9,51,31,0.6,0.45,11,0.12,0
6.6,58.9,51,4,0.6,0.45,25,0.12,1
6.6,686.7,51,11,0.6,0.45,19,0.1,0
6.6,72.6,46.1,7,0.2,0.21,34,0.09,1
7.4,118.7,66.7,10,0.2,0.21,0,0.6,1
7.4,61.8,38.3,19,0.32,0.31,4,0.28,0
7.4,61.8,34.3,5,0.32,0.35,5,0.7,1
7.4,61.8,41.2,7,0.32,0.29,4,0.28,1
7.4,80.4,47.1,11,0.24,0.25,0,0.4,1
7.4,97.1,66.7,20,0.24,0.21,0,0.6,0
7.4,80.4,54.9,4,0.24,0.21,10,0.4,1
7.4,61.8,41.2,13,0.24,0.22,7,1.6,1
7.4,80.4,41.2,8,0.24,0.28,12,1.2,1
7.4,136.4,77.5,17,0.24,0.24,17,0.35,0
7.4,103,83.4,9,0.24,0.17,5,0.34,1
7.4,108.9,70.6,8,0.24,0.21,4,0.36,1
7.4,59.8,56.9,11,0.28,0.18,5,0.53,1
7.4,109.9,80.4,23,0.28,0.22,0,0.41,0
7.4,111.8,77.5,10,0.24,0.2,10,0.3,0
7.4,74.6,59.8,6,0.24,0.18,10,0.25,1
7.4,130.5,86.3,21,0.24,0.21,5,0.35,0
7.4,93.2,68.7,9,0.24,0.19,20,0.15,1
7.4,83.4,63.8,10,0.24,0.19,26,0.12,0
7.4,111.8,77.5,12,0.24,0.2,3,0.35,1
7.4,106.9,71.6,15,0.24,0.21,11,0.3,0
7.4,124.6,91.2,17,0.24,0.19,12,0.3,0
7.4,74.6,49.1,4,0.2,0.18,10,0.15,1
7.4,111.8,66.7,15,0.2,0.2,10,0.18,0
6.1,105.9,56.9,5,0.1,0.09,13,0.18,0
6.1,247.2,105.9,4,0.1,0.09,27,0.17,0
