b,h,d,fc,fy,fyv,rpl,rl,rv,rh,s,apd,vtest
36,48,40,4100,67,61,0.0043,0.0293,0.0031,0.003,11,1.85,1128.3
36,48,40,4100,67,61,0.0043,0.0293,0.0086,0.003,4,1.85,1426
36,48,40,2800,65,63,0.0043,0.0293,0.0022,0.0022,10,1.85,1102
36,48,40,3000,65,63,0.0043,0.0293,0.0031,0.003,11,1.85,930
36,48,40,4900,68,62,0.0022,0.0293,0.0031,0.0027,11,1.85,1096
21,44,38.5,5240,73,67,0.0116,0.0229,0.0029,0.0033,6.5,1.84,569.2
21,44,38.5,5330,73,73,0.0116,0.0229,0.003,0.0033,7,1.84,657.4
21,44,38.5,3950,73,67,0.0116,0.0229,0.002,0.002,9.5,1.84,453.7
21,44,38.5,4160,73,73,0.0116,0.0229,0.0021,0.002,10,1.84,528.1
21,42,38.6,3290,64,65,0.0115,0.0231,0.0031,0.0045,9.5,1.84,499.5
21,42,38.6,3480,64,65,0.0115,0.0231,0.0031,0.0045,9.5,1.84,477.4
21,42,38.6,4410,66,71,0.0115,0.0231,0.0031,0.0045,9.5,1.84,635.4
21,42,38.6,4210,66,71,0.0115,0.0231,0.0031,0.0045,9.5,1.84,597.4
21,42,38.6,3120,69,64,0.0115,0.0231,0.002,0.0019,15,1.84,401.4
21,42,38.6,3140,69,64,0.0115,0.0231,0.002,0.0019,15,1.84,334.8
21,42,38.6,4620,69,67,0.0115,0.0231,0.002,0.0019,15,1.84,329
21,42,38.6,4740,69,67,0.0115,0.0231,0.002,0.0019,15,1.84,567.4
21,42,38.6,4100,66,64,0.0115,0.0231,0.002,0.0019,14.5,1.84,487.8
21,42,38.6,4100,66,64,0.0115,0.0231,0.0024,0.0014,12,1.84,515.6
21,42,38.6,4990,69,64,0.0115,0.0231,0.0029,0.0029,10,1.84,412.3
21,42,38.6,5010,69,63,0.0115,0.0231,0.001,0.0014,18,1.84,272.6
21,42,38.6,3300,69,62,0.0115,0.0231,0.0031,0.0029,6,1.84,471.1
21,42,38.6,3300,69,62,0.0115,0.0231,0.002,0.0018,9.5,1.84,467.6
21,42,38.6,4100,66,60,0.0115,0.0231,0.002,0.0018,9.5,1.84,846.5
21,42,38.6,4220,66,68,0.0115,0.0231,0.0031,0.0029,9.5,1.84,829.2
21,42,38.6,4630,66,62,0.0115,0.0231,0.002,0.0018,9.5,1.84,298.3
21,42,38.6,5030,66,65,0.0115,0.0231,0.0031,0.0029,9.5,1.84,516
21,74.5,68.9,4930,68,66,0.0129,0.0237,0.002,0.0018,9.5,1.85,762.7
21,74.5,68.9,4930,68,66,0.0129,0.0237,0.0031,0.0029,9.5,1.85,842.4
21,74.5,68.9,5010,68,64,0.0129,0.0237,0.0021,0.0021,14.3,2.5,509.9
21,74.5,68.9,5010,68,64,0.0129,0.0237,0.0021,0.0021,14.3,1.2,1222.8
21,22.5,19.5,4160,66,66,0.0232,0.0232,0.003,0.003,6.3,1.85,328.5
21,22.5,19.5,4220,66,81,0.0232,0.0232,0.002,0.0017,5.3,1.85,347
21,22.5,19.5,4570,65,58,0.0232,0.0232,0.002,0.0017,5.3,2.5,160.7
21,22.5,19.5,4630,65,58,0.0232,0.0232,0.002,0.0017,5.3,1.2,591.6
7.9,39.4,37.4,3785,55,83,0,0.0094,0.0015,0,7.4,1.05,136.3
7.9,39.4,37.4,3887,55,83,0.0003,0.0094,0.0015,0.0006,7.4,1.05,169.6
7.9,23.6,21.1,6150,66,83,0.0005,0.0112,0.0019,0.0011,5.9,1.87,78.8
7.9,19.7,17.9,6266,66,83,0.0006,0.0088,0.0014,0.0012,7.9,2.2,46.3
6,30,27,2584,68,73,0.0195,0.0014,0.0043,0,8.5,1.11,79.9
6,30,27,3208,68,73,0.0195,0.0014,0.0043,0,8.5,1.67,121.6
18,18,16,2880,68,73,0.0219,0.0008,0.0041,0,3,1.69,180.8
7,24,21,3680,44,47,0.0425,0.0213,0.0052,0,6,1.52,108.1
7,24,21,3250,44,44,0.0425,0.0213,0.0095,0,6,1.52,114.6
5.1,22.1,19.7,3440,60,60,0.0156,0.0022,0.0012,0.0043,16,0.85,64.1
5.1,22.1,19.7,3440,60,60,0.0156,0.0022,0.0022,0.0043,8.7,0.85,84.9
5.1,22.1,19.7,3440,60,60,0.0156,0.0022,0.0034,0.0043,5.7,0.85,80.6
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,0.5,160.3
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0022,0.0043,8.7,0.5,158.7
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0034,0.0043,5.7,0.5,159.3
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,0.85,109.9
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0022,0.0043,8.7,0.85,102.7
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0034,0.0043,5.7,0.85,94.7
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,1.25,78.2
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0022,0.0043,8.7,1.25,85.8
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0034,0.0043,5.7,1.25,90.6
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,2,47.6
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0022,0.0043,8.7,2,53.6
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0034,0.0043,5.7,2,53.1
5.1,22.1,19.7,3440,60,60,0.0156,0.0022,0.0012,0.0043,16,1.25,51.5
5.1,22.1,19.7,3440,60,60,0.0156,0.0022,0.0012,0.0043,16,1.25,57.5
5.1,22.1,19.7,3440,60,60,0.0156,0.0022,0.0012,0.0043,16,1.25,46.9
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,0.5,167.6
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,0.85,119.1
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,1.25,85
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,0.5,157.9
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,0.85,127.8
5.1,22.1,19.7,7121,60,60,0.0156,0.0022,0.0012,0.0043,16,1.25,81.8
4.9,47.2,44.2,11603,58,62,0.0134,0.0017,0.0067,0.0028,3,0.76,292.9
4.9,27.6,24.6,12038,58,62,0.0241,0.003,0.0067,0.0037,3,1.32,179
4.9,27.6,24.6,17404,58,62,0.0241,0.003,0.0067,0.0037,3,1.32,185.8
4.9,27.6,24.6,11313,58,62,0.0241,0.003,0.0067,0.0037,3,1.32,157.7
4.9,27.6,24.6,12473,58,62,0.0241,0.003,0.0067,0.0037,3,0.88,213.9
4.9,27.6,24.6,13489,58,62,0.0241,0.003,0.01,0,2,1.32,164.4
4.9,27.6,24.6,15084,58,62,0.0241,0.003,0.0067,0,3,1.32,162.2
4.9,27.6,24.6,11603,58,62,0.0241,0.003,0.0067,0.0037,3,1.88,115.2
4.9,27.6,24.6,17404,58,62,0.0241,0.003,0.0067,0.0037,3,1.88,118.5
4.9,27.6,24.6,11168,58,62,0.0241,0.003,0.0067,0.0037,3,1.88,118.5
4.9,27.6,24.6,12763,58,62,0.0241,0.003,0.0067,0.0037,3,1.28,174.7
8,18,15.3,3575,47,48,0.031,0.0018,0.0038,0,7.2,2.35,50.4
8,18,15.3,3430,47,48,0.031,0.0018,0.0038,0,7.2,2.35,47.4
8,18,15.3,3395,47,48,0.031,0.0018,0.0038,0,7.2,2.35,50.4
8,18,15.3,3590,47,48,0.031,0.0018,0.0038,0,7.2,2.35,55.4
8,18,15.3,3388,47,48,0.031,0.0018,0.0037,0,7.5,1.96,63.1
8,18,15.3,3680,47,48,0.031,0.0018,0.0037,0,7.5,1.96,58.1
8,18,15.3,3435,47,48,0.031,0.0018,0.0037,0,7.5,1.96,64.4
8,18,15.3,3380,47,48,0.031,0.0018,0.0037,0,7.5,1.96,60.7
8,18,15.3,3570,47,48,0.031,0.0018,0.0037,0,7.5,1.96,54.7
8,18,15.3,3370,47,48,0.031,0.0018,0.0073,0,3.8,1.96,68.1
8,18,15.3,3820,47,48,0.031,0.0018,0.0073,0,3.8,1.96,72.8
8,18,15.3,3615,47,48,0.031,0.0018,0.0073,0,3.8,1.96,75.7
8,18,15.3,6110,47,48,0.031,0.0018,0.0037,0,7.5,1.96,85.7
8,18,15.3,3720,47,48,0.0207,0.0018,0.0034,0,8,1.57,62.8
8,18,15.3,3820,47,48,0.0207,0.0018,0.0034,0,8,1.57,70.3
8,18,15.3,3475,47,48,0.0207,0.0018,0.0034,0,8,1.57,55.7
8,18,15.3,4210,47,48,0.0207,0.0018,0.0034,0,8,1.57,64.7
8,18,15.3,3430,47,48,0.0207,0.0018,0.0069,0,4,1.57,65.6
8,18,15.3,3625,47,48,0.0207,0.0018,0.0069,0,4,1.57,68.1
8,18,15.3,3500,47,48,0.0207,0.0018,0.0069,0,4,1.57,73.2
8,18,15.3,3910,47,48,0.0207,0.0018,0.0069,0,4,1.57,65.2
8,18,15.3,2040,47,48,0.0207,0.0018,0.0034,0,8,1.57,50.7
8,18,15.3,2000,47,48,0.0207,0.0018,0.0034,0,8,1.57,45.4
8,18,15.3,2020,47,48,0.0207,0.0018,0.0034,0,8,1.57,42.7
8,18,15.3,3550,47,48,0.031,0.0018,0.0034,0,8,1.57,69.9
8,18,15.3,6560,47,48,0.031,0.0018,0.0034,0,8,1.57,95.7
8,18,15.3,6480,47,48,0.031,0.0018,0.0034,0,8,1.57,98.2
8,18,15.3,6900,47,48,0.031,0.0018,0.0034,0,8,1.57,96.7
8,18,15.5,3800,49,48,0.0163,0.0018,0.0046,0,6,1.16,68.1
8,18,15.5,3790,49,48,0.0163,0.0018,0.0046,0,6,1.16,80.6
8,18,15.5,3560,49,48,0.0163,0.0018,0.0046,0,6,1.16,58.1
8,18,15.5,3480,49,48,0.0163,0.0018,0.0061,0,4.5,1.16,65.6
8,18,15.5,3755,49,48,0.0163,0.0018,0.0061,0,4.5,1.16,70.6
8,18,15.5,3595,49,48,0.0163,0.0018,0.0061,0,4.5,1.16,75.6
8,18,15.5,3550,49,48,0.0163,0.0018,0.0061,0,4.5,1.16,75.7
8,18,15.5,4090,49,48,0.0244,0.0018,0.0092,0,3,1.16,89.2
8,18,15.5,3350,49,48,0.0163,0.0018,0.0122,0,2.3,1.16,70.6
13.8,47,43.3,5134,65,62,0.0158,0.0079,0.0053,0.0029,6,1.27,363.4
13.8,47,43.3,5076,65,62,0.0158,0.0079,0.0053,0.029,6,1.27,358.3
11.8,17.7,15.8,3365,66,54,0.0214,0.0033,0.0021,0,3.9,0.5,184.9
11.8,17.7,15.8,3365,66,56,0.0214,0.0033,0.0048,0,3.9,0.5,187.6
11.8,17.7,15.8,3365,66,53,0.0214,0.0033,0.0084,0,3.9,0.5,195.7
11.8,17.7,15.8,4206,66,54,0.0214,0.0033,0.0021,0,3.9,1,164.7
11.8,17.7,15.8,4206,66,56,0.0214,0.0033,0.0048,0,3.9,1,169
11.8,17.7,15.8,4206,66,53,0.0214,0.0033,0.0084,0,3.9,1,181.1
11.8,17.7,15.8,3336,66,56,0.0214,0.0033,0.0048,0,3.9,1.5,110.9
11.8,17.7,15.8,3408,66,53,0.0214,0.0033,0.0084,0,3.9,1.5,128.6
11.8,17.7,15.8,4641,66,54,0.0214,0,0.0021,0,3.9,1,169.2
11.8,17.7,15.8,4641,66,56,0.0214,0,0.0048,0,3.9,1,174.4
11.8,17.7,15.8,4641,66,53,0.0214,0,0.0084,0,3.9,1,191.3
11.8,17.7,15.8,4540,66,54,0.0214,0.0033,0.0021,0,3.9,1,128.5
11.8,17.7,15.8,4569,66,56,0.0214,0.0033,0.0048,0,3.9,1,174.2
11.8,17.7,15.8,4612,66,53,0.0214,0.0033,0.0084,0,3.9,1,170.4
11.8,17.7,15.8,3524,102,138,0.0214,0.0033,0.0048,0,3.9,1,149.9
11.8,17.7,15.8,3902,102,152,0.0214,0.0033,0.0084,0,3.9,1,149
11.8,17.7,15.8,3800,102,138,0.0214,0.0033,0.0048,0,3.9,1.5,121.2
11.8,17.7,15.8,3814,102,152,0.0214,0.0033,0.0084,0,3.9,1.5,127.7
11.8,17.7,15.8,3698,66,56,0.0214,0.0033,0.0048,0,3.9,0.75,145.8
11.8,17.7,15.8,3800,66,53,0.0214,0.0033,0.0084,0,3.9,0.75,150
11.8,17.7,15.8,3829,66,56,0.0214,0.0033,0.0088,0,5.9,0.75,157.9
11.8,17.7,15.8,3858,102,56,0.0214,0.0033,0.0048,0,3.9,2,94.1
11.8,17.7,15.8,3974,102,53,0.0214,0.0033,0.0084,0,3.9,2,99.5
11.8,17.7,15.8,3582,66,56,0.0214,0.0033,0.0095,0,2,1,145.9
11.8,17.7,15.8,3597,66,54,0.0214,0.0033,0.0095,0,7.9,1,134.8
11.8,17.7,15.8,3553,193,56,0.0042,0.0033,0.0048,0,3.9,0.5,121.5
11.8,17.7,15.8,3742,193,53,0.0042,0.0033,0.0084,0,3.9,0.5,124.8
11.8,17.7,15.8,3684,193,56,0.0042,0.0033,0.0048,0,3.9,1,106.1
11.8,17.7,15.8,3756,193,53,0.0042,0.0033,0.0084,0,3.9,1,106.1
11.8,17.7,15.8,2988,109,56,0.0214,0.0033,0.0048,0,3.9,2.5,73.5
11.8,17.7,15.8,3104,109,53,0.0214,0.0033,0.0084,0,3.9,2.5,85.2
11.8,17.7,15.8,14141,109,139,0.0214,0.0033,0.0021,0,3.9,1,279.8
11.8,17.7,15.8,13967,109,138,0.0214,0.0033,0.0048,0,3.9,1,292.7
11.8,17.7,15.8,13706,109,139,0.0214,0.0033,0.0021,0,3.9,1.5,210
11.8,17.7,15.8,13663,109,138,0.0214,0.0033,0.0048,0,3.9,1.5,220.8
7.9,41.3,39.4,4525,147,56,0.002,0.004,0.0029,0,9.8,1,150.7
15.8,80.7,78.7,4424,147,54,0.0005,0.004,0.0029,0,19.7,1,589.9
5.9,25.6,23.6,4960,146,48,0.0176,0.0006,0.0042,0,3.9,1,132.1
5.9,25.6,23.6,5120,146,48,0.0176,0.0006,0.0084,0,2,1,149.5
6,36,36,4300,0,73,0.0005,0,0.0031,0.0031,6,0,264.5
6,36,36,5290,0,73,0.0005,0,0,0.0031,0,0,366.8
6,36,36,4300,0,73,0.0005,0,0,0.0031,0,0,283.2
6,36,36,4300,0,73,0.0005,0,0,0.0031,0,0,202.1
6,36,36,5500,0,73,0.0002,0,0,0.0027,0,0,352.4
6,36,36,5500,0,73,0.0005,0,0,0.0061,0,0,377
6,36,36,4200,0,73,0,0,0,0.001,0,0,224
6,36,36,5290,0,73,0,0,0,0.0046,0,0,343.1
6,36,36,4350,0,73,0,0,0,0.0023,0,0,189
6,36,36,4350,0,73,0,0,0.0046,0.0015,4,0,259.7
6,36,36,4350,0,73,0.0005,0,0,0.0031,0,0,370.1
6,36,36,4350,0,73,0.0005,0,0,0.0031,0,0,246.7
10,36,36,4350,0,73,0.001,0,0,0.0037,0,0,299.5
10,36,36,4350,0,73,0.001,0,0,0.0037,0,0,303.8
9.8,31.5,29.9,3083,60,60,0.0107,0,0.0017,0,7.5,0.97,105.7
9.8,15.8,14.2,3554,60,60,0.0113,0,0.0035,0,3.9,1,85.6
9.8,23.6,22.1,3861,60,60,0.0112,0,0.0033,0,5.9,1.01,130.8
9.8,31.5,29.9,3590,60,60,0.0107,0,0.0033,0,7.5,0.97,150.2
6.3,27.6,25.3,4104,76,54,0.0111,0.001,0.0021,0,5.9,1.1,96.2
9.1,39.4,35.6,4162,75,66,0.0123,0.0007,0.0021,0,5.9,1.1,174.9
21,42,36.1,5061,66,65,0.031,0.01,0.003,0.0058,9.5,1.85,576.6
21,42,36.1,7250,66,65,0.031,0.01,0.003,0.0058,9.5,1.85,560.8
